news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
N11792,soccer,Son's red card for tackle on Gomes overturned,Son's red card overturned as Tottenham win appeal.,Son's red card for tackle on Gomes overturned Son's red card overturned as Tottenham win appeal.,"[-0.03492217755821607, -0.019090916734156232, 0.014111099700381683, 0.01628364147242474, -0.05218554290411045, -0.004686368532440811, 0.24294384695676383, 0.1533259910527053, -0.19549777155047127, 0.0191726908805739]","[0.046561580151319504, -0.0936674177646637, 0.01164811011403799, 0.016222108155488968, 0.08896960318088531, -0.1464710831642151, -0.17515446245670319, -0.034970082342624664, -0.04147585108876228, -0.3358139991760254]","[0.08028165183683787, 0.029861617196186456, -0.05277433601067546, 0.02227441211820267, -0.009540163432665377, -0.06887129623932074, 0.1881021620444981, 0.15501916816860903, 0.06539818524548678, -0.07818940818689875]"
N64639,tennis,Tennis: Young pretenders arrive in force in London,Tennis: Young pretenders arrive in force in London,Tennis: Young pretenders arrive in force in London Tennis: Young pretenders arrive in force in London,"[-0.04620816523223779, 0.03447687525726546, -0.02104251172088714, -0.09234538574998687, 0.0667669964635638, -0.054847389856567175, 0.02870651799663656, -0.018561806477417113, 0.02943296193041128, -0.06973338726205468]","[0.3065222501754761, -0.15782903134822845, -0.3262275159358978, -0.12363693863153458, 0.06189300864934921, -0.08144303411245346, -0.02628927491605282, 0.12744519114494324, -0.10770217329263687, 0.024673044681549072]","[0.29747059900855527, 0.07176930229450836, -0.3495016519455581, -0.0861288677679037, -0.04214020724883329, -0.12358439297610498, -0.024523612793517214, -0.14919817392551904, 0.07255464441437429, 0.013223805690180362]"
N30211,tennis,"'Super sad' Nadal out of Paris Masters, doubt for ATP Finals","Rafael Nadal pulled out of the Paris Masters with an abdominal injury just minutes before the scheduled start of his semi-final against Denis Shapovalov on Saturday, and admitted his participation at the ATP Tour Finals was in doubt. The 33-year-old has battled multiple injuries throughout his career and also pulled out of the Paris Masters on his last appearance in 2017 before the quarter-finals.","'Super sad' Nadal out of Paris Masters, doubt for ATP Finals Rafael Nadal pulled out of the Paris Masters with an abdominal injury just minutes before the scheduled start of his semi-final against Denis Shapovalov on Saturday, and admitted his participation at the ATP Tour Finals was in doubt. The 33-year-old has battled multiple injuries throughout his career and also pulled out of the Paris Masters on his last appearance in 2017 before the quarter-finals.","[-0.05877247442763195, 0.13309246259913388, -0.00572651493271124, -0.21351051901210713, 0.2323229548257582, -0.2129904883793357, 0.1101406166648324, -0.07763166561969455, 0.08805525451688936, -0.10231389343146499]","[0.4991762638092041, -0.2130800187587738, -0.10045601427555084, 0.12568804621696472, -0.09534349292516708, -0.04884934425354004, -0.2333538830280304, -0.0016780114965513349, 0.07142234593629837, 0.011810516938567162]","[0.3695386480300992, 0.0728156258024945, -0.1312054330580787, 0.027984118416945356, -0.11419828859178568, -0.2918252105873194, 0.2567203874696911, -0.002640618052275749, -0.040951145130511984, -0.10778988276935653]"
N52478,tennis,French captain Benneteau names unchanged team for Fed Cup final,"France captain Julien Benneteau kept faith with the five women who sealed the semi-final win against Romania in April by naming an unchanged team on Monday for the Fed Cup final against Australia. Kristina Mladenovic, ranked 39 in the world, will be backed by Caroline Garcia (45), Alize Cornet (60), Fiona Ferro (63) and Pauline Parmentier (121) in next month's final in Perth. ""So far, these five players have turned up every time,"" said...","French captain Benneteau names unchanged team for Fed Cup final France captain Julien Benneteau kept faith with the five women who sealed the semi-final win against Romania in April by naming an unchanged team on Monday for the Fed Cup final against Australia. Kristina Mladenovic, ranked 39 in the world, will be backed by Caroline Garcia (45), Alize Cornet (60), Fiona Ferro (63) and Pauline Parmentier (121) in next month's final in Perth. ""So far, these five players have turned up every time,"" said...","[0.1148937141071064, 0.16438456764032586, 0.14563853497381743, -0.18527490504866084, 0.1598349200526374, 0.259779614458975, 0.03245739810424073, -0.01894589259736892, -0.03462716481348988, 0.03592726808774037]","[0.37609028816223145, -0.08351901918649673, -0.23643265664577484, 0.02373187616467476, -0.1593094915151596, -0.0975024625658989, 0.004171404521912336, 0.17318278551101685, 0.1770365983247757, -0.04477934539318085]","[0.29504261391514797, 0.08487933950752616, -0.27463725719593723, -0.05981034474792633, 0.050693174820553674, -0.2117891915086336, 0.018125690512272655, -0.007874156048860013, 0.08206197444481773, -0.045401830726267585]"
N1938,tennis,Nadal beaten by Zverev in ATP Finals opener,Nadal beaten by Zverev in ATP Finals opener,Nadal beaten by Zverev in ATP Finals opener Nadal beaten by Zverev in ATP Finals opener,"[-0.05297410112933738, 0.10304075916378612, -0.02249903056215865, -0.20905845809024842, 0.23819966668483145, -0.1671968281758378, 0.13184548395245702, -0.053084189667675905, 0.09151963922455034, -0.1345435976931222]","[0.514982283115387, -0.06253865361213684, -0.22590628266334534, 0.08838876336812973, -0.0957866907119751, 0.0029939922969788313, -0.3174532353878021, 0.003842485137283802, 0.0268907118588686, -0.03144591674208641]","[0.3505159220296128, 0.035365788401884625, -0.1981512663879329, 0.08431944858025152, -0.19261256948689046, -0.21199707697594458, 0.11925539516527538, 0.029370442466063244, -0.0520914919323506, -0.13755757450304607]"
N62382,tennis,Clijsters could struggle with physicality of modern game: say top coaches,Clijsters could struggle with physicality of modern game: say top coaches,Clijsters could struggle with physicality of modern game: say top coaches Clijsters could struggle with physicality of modern game: say top coaches,"[-0.08833152579525076, -0.1182744398251682, 0.1671666623988509, 0.04721224635248836, -0.042095930375760274, 0.01592140309521046, 0.020006528570678306, 0.08659775817223413, 0.19487614533248948, -0.01974155918131547]","[0.20745524764060974, -0.32404518127441406, -0.144516259431839, -0.09206783026456833, 0.013872859068214893, -0.21754755079746246, 0.001084996503777802, 0.026023991405963898, -0.04597143083810806, -0.1284548044204712]","[0.14036566400814068, 0.17119429607982492, -0.19628506827712397, 0.022156085394402527, -0.06445281969760235, -0.05729621713109527, 0.05397530442237072, -0.21940481561762443, 0.09344787859489008, -0.11560099683463203]"
N15469,tennis,Murray excited to see what next couple of years can bring,Murray excited to see what next couple of years can bring,Murray excited to see what next couple of years can bring Murray excited to see what next couple of years can bring,"[-0.03344430399063378, 0.014884778505952816, -0.030291637494936074, -0.042961597481405184, -0.002970848418359013, 0.013539758603279745, -0.016351393100213062, 0.015511232788471236, -0.03452107084399777, 0.01438654137822471]","[-0.11800151318311691, -0.14888866245746613, -0.035489629954099655, 0.03339393436908722, -0.01919011026620865, -0.009333656169474125, 0.2018786072731018, 0.1393316388130188, 0.11815906316041946, 0.12173551321029663]","[0.06609490766908482, 0.08833728754328893, -0.05857037809519857, -0.17407407254687868, -0.02259039514939747, -0.07860143352708496, -0.15997833448145118, -0.2425701943569803, 0.030505631426858238, 0.146082883751779]"
N1753,tennis,Federer and Djokovic drawn in same ATP finals group,"Spectators will be hoping for a mini repeat of this year's epic Wimbledon final between Novak Djokovic and Roger Federer after the two tennis legends were drawn in the same group for next week's climax to the season, the ATP Finals. Djokovic, who could finish the week as world number one, and Federer fought out a thrilling five set final at Wimbledon with the Serbian coming from a break down in the final set to win it 7-6 (7/5), 1-6, 7-6 (7/4),...","Federer and Djokovic drawn in same ATP finals group Spectators will be hoping for a mini repeat of this year's epic Wimbledon final between Novak Djokovic and Roger Federer after the two tennis legends were drawn in the same group for next week's climax to the season, the ATP Finals. Djokovic, who could finish the week as world number one, and Federer fought out a thrilling five set final at Wimbledon with the Serbian coming from a break down in the final set to win it 7-6 (7/5), 1-6, 7-6 (7/4),...","[-0.04058488207458239, 0.1350965858565865, 0.02622010372020071, -0.3122137879475689, 0.3363001644315706, -0.1826158597531731, 0.1708432360876274, -0.0727452906638839, 0.06897655644851831, -0.04739027581412908]","[0.49535176157951355, -0.026724057272076607, -0.30039268732070923, 0.012656458653509617, -0.11055290699005127, -0.02216920256614685, -0.19709962606430054, 0.21904246509075165, 0.017296001315116882, 0.03589363768696785]","[0.34789506399682335, -0.026654678777052035, -0.2403816736425078, 0.024922963416757697, -0.07924354960494692, -0.195846288286252, -0.001528369188434971, -0.11546720408286357, -0.034186866191017067, -0.11836781982637971]"
N12105,tennis,"Carmel boys tennis gets triple crown with team, singles and doubles state titles",Presley Thieneman won the singles state title and Uday Lomada and Jones McNamer added the doubles crown to make it a clean sweep for the Greyhounds.,"Carmel boys tennis gets triple crown with team, singles and doubles state titles Presley Thieneman won the singles state title and Uday Lomada and Jones McNamer added the doubles crown to make it a clean sweep for the Greyhounds.","[-0.003976218659425634, 0.02097969270053079, -0.052136915809578965, -0.07607719037609441, 0.05170155752673839, 0.017355360027174055, -0.10777540067413997, 0.035155138226048835, 0.0025050864657057384, 0.10673634205620608]","[0.17404335737228394, 0.16219577193260193, -0.21192140877246857, -0.04866399988532066, 0.04421328380703926, 0.13334134221076965, -0.06011759862303734, -0.008067327551543713, 0.21919909119606018, -0.06432516872882843]","[0.1500694785462496, -0.10524647493972604, -0.16191357296131903, 0.02118730176655102, 0.23576111709241787, -0.05194033555101394, -0.0462763127474095, 0.0949594869131726, -0.09123266068262204, 0.04349792929834975]"
N17075,tennis,France clinches Fed Cup with epic 3-2 win over Australia,"PERTH, Australia (AP) Kristina Mladenovic inspired France to a drought-breaking Fed Cup triumph after a nail-biting 3-2 win in the final against Australia on Sunday.","France clinches Fed Cup with epic 3-2 win over Australia PERTH, Australia (AP) Kristina Mladenovic inspired France to a drought-breaking Fed Cup triumph after a nail-biting 3-2 win in the final against Australia on Sunday.","[0.1279159184156414, 0.13424567324436126, 0.10089961280752174, -0.11636346087355295, 0.1335875046527801, 0.22258328414231413, 0.08274855599037717, 0.017015436983142534, 0.01655998279731534, 0.07484628472162702]","[0.39831146597862244, 0.10567256063222885, -0.3403998017311096, 0.1148340255022049, -0.07737148553133011, -0.022326070815324783, 0.02402506209909916, -0.024742472916841507, 0.1590646505355835, -0.11519678682088852]","[0.3103201943918744, -0.053252489983741165, -0.3261375824804763, 0.05230323267079072, -0.029313876934561955, -0.15773878365905972, -0.03052187804233505, 0.078119997503286, 0.04266145345954292, -0.008359106032142582]"
N29869,tennis,Serena Williams through the years,A look back at Serena Williams' career.,Serena Williams through the years A look back at Serena Williams' career.,"[-0.04687972854297035, 0.0032680923298467053, -0.04047808947456941, -0.03439010200455319, 0.0033447132552637715, 0.011136771952581715, -0.03581610407115289, 0.02016698892180063, -0.0013918468717353978, 0.061871007347467435]","[0.2139335572719574, -0.07822367548942566, -0.3050771653652191, -0.18815140426158905, 0.008342541754245758, 0.045680440962314606, 0.1677168309688568, 0.0026008363347500563, 0.043130017817020416, 0.11666174978017807]","[0.2648177829403999, 0.060958157971608674, -0.1764488277233878, -0.08671140591648555, 0.025648785021961804, -0.1137019192984302, -0.025750981599485693, -0.16009925537858669, 0.0990345270346897, 0.005400244104040348]"
N25655,tennis,Australian Open on Murray's radar after next week's Davis Cup finals,The birth of Andy Murray's third child has forced him to change schedule but the Scot is already setting sights on the Australian Open and a return to the major stages,Australian Open on Murray's radar after next week's Davis Cup finals The birth of Andy Murray's third child has forced him to change schedule but the Scot is already setting sights on the Australian Open and a return to the major stages,"[0.010749646547071246, 0.06457787092818913, -0.00448584994837981, -0.1259129022626409, 0.08133219728704898, 0.03833876000556649, 0.07811288617512051, -0.0029977699896780205, 0.005740099375070156, -0.036254793986590414]","[0.2788468301296234, -0.09603815525770187, -0.11748328804969788, -0.08848292380571365, -0.13560357689857483, -0.015215841121971607, 0.03580251336097717, 0.2845768928527832, 0.08334077894687653, 0.15495191514492035]","[0.2908350432669888, 0.07722028106062241, -0.13879584515188062, -0.1727504921048127, -0.03237088399192042, -0.14909010344222715, 0.03115493135832022, -0.18376620640370053, 0.0898823359349984, 0.08345476354195851]"
N62731,tennis,'Big Three' hail future stars of men's tennis,"Roger Federer, Rafael Nadal and Novak Djokovic have hailed the fast-rising next generation of players, saying the future of tennis is ""in good hands"" ahead of the start of the ATP Finals. The ""Big Three"" remain the men to beat at the season-ending tournament in London -- as they were when they first all played together at the event in 2007. But the eight-man field at the O2 Arena contains a crop of exciting young players who have their eye on...","'Big Three' hail future stars of men's tennis Roger Federer, Rafael Nadal and Novak Djokovic have hailed the fast-rising next generation of players, saying the future of tennis is ""in good hands"" ahead of the start of the ATP Finals. The ""Big Three"" remain the men to beat at the season-ending tournament in London -- as they were when they first all played together at the event in 2007. But the eight-man field at the O2 Arena contains a crop of exciting young players who have their eye on...","[-0.0664693263237181, 0.09311628849602008, -0.051534880765374005, -0.2316057860832773, 0.1987892020126688, -0.2186088829865796, 0.09428195496994028, -0.02430437716622666, 0.0943229604890994, -0.04734359582284535]","[0.3636265993118286, -0.1720672994852066, -0.24146400392055511, -0.03790273889899254, -0.08368290215730667, 0.02004699409008026, 0.07034926116466522, 0.22612126171588898, 0.07376713305711746, 0.1503758430480957]","[0.34802883851251964, 0.01663407593958266, -0.2618794976489609, -0.11118445942633909, -0.036203993922390904, -0.14448185927425267, -0.025909254455797313, -0.2102298652818605, 0.018668814477402915, 0.03454062534779817]"
N30236,tennis,American teenager Gauff reaches maiden WTA final in Linz,American teenager Gauff reaches maiden WTA final in Linz,American teenager Gauff reaches maiden WTA final in Linz American teenager Gauff reaches maiden WTA final in Linz,"[-0.010351948589903182, 0.048272690351498, -0.005330283185844745, -0.07059362785690296, 0.07030738448515138, -0.011992277910307053, 0.043555849084597816, 0.0009185742742164811, 0.009883129862791579, 0.014035564302798792]","[0.36230048537254333, -0.02914132922887802, -0.22266077995300293, -0.06464780122041702, 0.08341564983129501, 0.06519661098718643, -0.04919254407286644, -0.05982666835188866, 0.13354606926441193, -0.08698514103889465]","[0.32068147993936685, -0.05892618100505315, -0.31601337490686454, 0.025938223449547992, 0.08242498796818543, -0.16190077304090694, 0.003488710960928209, 0.009612471442344301, -0.004727092032340915, 0.02200390691538521]"
N57862,tennis,"For Rockland Scholar-Athlete Sydney Miller, tennis is about family, team and competition",Clarkstown North's Sydney Miller is a three-time Journal News Rockland girls tennis player of the year.,"For Rockland Scholar-Athlete Sydney Miller, tennis is about family, team and competition Clarkstown North's Sydney Miller is a three-time Journal News Rockland girls tennis player of the year.","[-0.036426488824690045, 0.03811323858773141, -0.028439433569923237, -0.14722880154343115, 0.03217725607950178, 0.013977103813094527, -0.04828216978947333, -0.024787101885317946, -0.030802565752690338, -0.07952887918660757]","[0.22128014266490936, -0.08594617247581482, -0.24143169820308685, -0.08151755481958389, -0.014759809710085392, -0.038503970950841904, 0.046986956149339676, 0.04838254302740097, 0.17451144754886627, 0.07217467576265335]","[0.08016171406977833, 0.04446539346237885, -0.16876535274163243, -0.1257095007080136, 0.15773133913269127, -0.09070716339006206, -0.0015768170644576882, 0.06540247486726673, 0.039375047753640036, 0.02361161304562238]"
N33933,tennis,Naomi Osaka: 'I want to leave some sort of legacy',Naomi Osaka has learned a lot about dealing with expectations in 2019.,Naomi Osaka: 'I want to leave some sort of legacy' Naomi Osaka has learned a lot about dealing with expectations in 2019.,"[-0.03330123877230995, 0.022137066559825197, -0.020697196426443232, -0.010796389600565023, 0.02425902989153043, -0.02168976017818809, 0.009613146988020375, 0.020939088144821566, -0.025197950118472798, -0.07309924039073777]","[0.1394369900226593, -0.19396425783634186, -0.0913616269826889, -0.04181380197405815, 0.00043145878589712083, 0.02582036890089512, 0.19621062278747559, 0.0006462832679972053, 0.05957260727882385, 0.05272791162133217]","[0.25247694370697493, 0.1372749216721409, -0.10363745187709339, -0.08463635975953301, -0.048071601106294694, -0.06570944406118046, -0.0453567406611873, -0.3384108241724308, 0.041927938660374024, 0.09634821255841634]"
N46069,tennis,Rafael Nadal Slams Reporter After Being Asked if Recent Marriage Led to Loss at ATP Finals,Rafael Nadal Slams Reporter Who Asked if Marriage Caused Loss,Rafael Nadal Slams Reporter After Being Asked if Recent Marriage Led to Loss at ATP Finals Rafael Nadal Slams Reporter Who Asked if Marriage Caused Loss,"[-0.055573289762752366, 0.07416367894902957, -0.023798960031114206, -0.1383790512946352, 0.16705406493675473, -0.117546192237253, 0.09038482738989141, -0.03147389040723853, 0.09459327308497197, -0.12429785481701121]","[0.42993441224098206, -0.21568696200847626, 0.024911323562264442, -0.01423023920506239, -0.06580998748540878, -0.12770093977451324, -0.19800814986228943, -0.049469560384750366, -0.11778908222913742, 0.026144573464989662]","[0.23826971899428545, 0.1361381013320182, -0.05096608077309351, -0.035787573194381785, -0.18044722894982948, -0.11603588268966798, 0.22370675146586727, -0.1132362875318894, 0.047360974260780946, -0.10634991288258926]"
N3843,tennis,Federer brushes aside De Minaur to claim record 10th Basel title,Roger Federer clinched a record-extending 10th Swiss Indoors championship title in his hometown of Basel.,Federer brushes aside De Minaur to claim record 10th Basel title Roger Federer clinched a record-extending 10th Swiss Indoors championship title in his hometown of Basel.,"[0.01904782562785771, 0.10436768537125952, -0.047952944666673124, -0.09291044764838398, 0.20684447927683827, -0.1590412755098868, 0.08797810554413599, 0.000279498307719779, 0.026558525585324812, 0.0929164010015094]","[0.42517977952957153, -0.11516068875789642, -0.17415925860404968, 0.09636247158050537, -0.045846886932849884, -0.0006617659819312394, -0.08261571824550629, 0.04945412278175354, 0.08816298097372055, -0.12246377021074295]","[0.3803556988860689, 0.025632682588953445, -0.2043696673388579, 0.006991573835686184, -0.05142361592149607, -0.22005622930545116, 0.02126839661349773, 0.07175911118156093, 0.04759020943845756, -0.002177801064658426]"
N5292,tennis,De Minaur beats Tiafoe to reach 2nd successive final,MILAN (AP) Top-seeded Alex de Minaur beat Frances Tiafoe at the Next Gen Finals on Friday to reach his second successive final in Milan.,De Minaur beats Tiafoe to reach 2nd successive final MILAN (AP) Top-seeded Alex de Minaur beat Frances Tiafoe at the Next Gen Finals on Friday to reach his second successive final in Milan.,"[-0.014250178973228292, 0.085986023578271, 0.003881340098563488, -0.12632740783490942, 0.1291898600918311, -0.06022345904477214, 0.08024455910537136, -0.012462224124542535, 0.060409005368888255, 0.0322166301650903]","[0.32060036063194275, 0.0022163402754813433, -0.13309690356254578, 0.16520461440086365, 0.08006562292575836, 0.07053814083337784, -0.1315094232559204, -0.008344343863427639, 0.18044854700565338, -0.1919509917497635]","[0.2907770428527786, -0.007247679925058681, -0.19963606839809356, 0.09637196020915897, 0.05617403348846233, -0.2366569076556559, 0.00027800347012393184, 0.051257837213044874, -0.09112527223057258, 0.08718051483566103]"
N65070,tennis,"Djokovic thrashes Berrettini, Thiem stuns Federer","Djokovic thrashes Berrettini, Thiem stuns Federer","Djokovic thrashes Berrettini, Thiem stuns Federer Djokovic thrashes Berrettini, Thiem stuns Federer","[-0.04162459440934379, 0.07452167111266425, -0.026139634613939793, -0.16392779054827242, 0.17998997878471917, -0.1073876736583719, 0.09948645914909161, -0.011018001413629984, 0.04440258948698542, -0.07436342958529402]","[0.3820822834968567, -0.0043411292135715485, -0.26457834243774414, 0.1515844166278839, 0.023730123415589333, -0.10039083659648895, -0.11202006787061691, 0.02433362789452076, 0.025219859555363655, -0.018021581694483757]","[0.37132910233486444, 0.0026392876501809947, -0.22131427230897796, 0.154790125573679, -0.15282619125080948, -0.15005525832296338, 0.08900918713968721, 0.008667965733463144, 0.008839356717067247, -0.09395218272483379]"
N30988,tennis,Djokovic enjoys 'fun' Nadal practice session ahead of No. 1 battle,"Novak Djokovic enjoyed a ""fun"", but rare, practice session with Rafael Nadal ahead of this week's Paris Masters as the old rivals prepare to battle for the year-end world number one spot. Nadal, who claimed his 19th Grand Slam title last month with an epic US Open final win over Daniil Medvedev, has been the year-end world number one on four occasions.","Djokovic enjoys 'fun' Nadal practice session ahead of No. 1 battle Novak Djokovic enjoyed a ""fun"", but rare, practice session with Rafael Nadal ahead of this week's Paris Masters as the old rivals prepare to battle for the year-end world number one spot. Nadal, who claimed his 19th Grand Slam title last month with an epic US Open final win over Daniil Medvedev, has been the year-end world number one on four occasions.","[-0.03616467871311657, 0.05478804473781279, 0.038759658727948926, -0.1860976414346351, 0.24584875597381808, -0.1691831105370732, 0.067561377968587, -0.05776734211249625, -0.018088853915129325, -0.007554577384658197]","[0.45199236273765564, -0.1829807013273239, -0.11606616526842117, 0.04258390888571739, -0.04287713021039963, -0.07084787636995316, -0.07480597496032715, 0.10604099929332733, 0.04156126081943512, 0.02700190246105194]","[0.3790359087152439, 0.03726313460182736, -0.12435665063123937, 0.06585231539908858, -0.058332448674342716, -0.16435029713100657, 0.011696302154002436, -0.17842694402350123, -0.05679669554746568, -0.0766256695510809]"
N34707,tennis,From the Alps to Wimbledon: Unlikely lad Jannick Sinner is following in Novak Djokovic's footsteps as former skier aims at tennis stardom,"The last great tennis player to emerge, incongruously, from an upbringing that took place largely in a mountainous ski area was one of the greatest ever: Novak Djokovic.","From the Alps to Wimbledon: Unlikely lad Jannick Sinner is following in Novak Djokovic's footsteps as former skier aims at tennis stardom The last great tennis player to emerge, incongruously, from an upbringing that took place largely in a mountainous ski area was one of the greatest ever: Novak Djokovic.","[-0.04061392919355069, 0.07704782752291209, -0.024262294324970016, -0.16241067436960105, 0.1268441978037596, -0.06483634369680932, 0.05031803470364217, -0.00809893906316303, 0.00244883991305409, -0.08621839488184803]","[0.38955065608024597, -0.2258831262588501, -0.17352962493896484, -0.054774995893239975, -0.03524361923336983, -0.1434098482131958, -0.006314108148217201, 0.054979510605335236, 0.11493004858493805, 0.055581819266080856]","[0.3640500029657729, 0.08897259346433375, -0.21961127637520192, -0.08405413669806193, 0.010779452267713754, -0.10502255520534629, 0.033022551983885165, -0.047787306666156826, 0.09374413545867813, 0.11918010920250834]"
N63350,tennis,Tennis: Thiem begins Vienna campaign with win over Tsonga,Tennis: Thiem begins Vienna campaign with win over Tsonga,Tennis: Thiem begins Vienna campaign with win over Tsonga Tennis: Thiem begins Vienna campaign with win over Tsonga,"[-0.02459851968993633, 0.044764989113925076, 0.02283423832324329, -0.06413713652590716, 0.1050252270427196, -0.08046864737533028, 0.06153207202656548, 0.020887648831541077, 0.008561001583925063, 0.002331481134175039]","[0.3241502344608307, -0.046329397708177567, -0.35409316420555115, 0.03613218292593956, -0.022053096443414688, 0.0735883042216301, -0.10120881348848343, 0.04104685038328171, 0.04148542881011963, -0.03161061555147171]","[0.3612497031152372, 0.027825340607382933, -0.2972718633633565, 0.06965896339133122, -0.06084267248056003, -0.07338681640940299, 0.07608104154315326, -0.014790175307781695, -0.05082008432923657, 0.009243128572754715]"
N56981,tennis,Nadal saves match point v Medvedev for 1st win at ATP Finals,"LONDON (AP)   Facing match point at 5-1 down in the third set, Rafael Nadal gave himself about a one-in-a-thousand chance of turning things around against Daniil Medvedev at the ATP Finals. Those odds turned out to be more than good enough for the top-ranked Spaniard. Nadal saved that match point with a perfect drop shot and then rallied to beat Medvedev 6-7 (3), 6-3, 7-6 (4) Wednesday, keeping alive his chances of advancing from the group...","Nadal saves match point v Medvedev for 1st win at ATP Finals LONDON (AP)   Facing match point at 5-1 down in the third set, Rafael Nadal gave himself about a one-in-a-thousand chance of turning things around against Daniil Medvedev at the ATP Finals. Those odds turned out to be more than good enough for the top-ranked Spaniard. Nadal saved that match point with a perfect drop shot and then rallied to beat Medvedev 6-7 (3), 6-3, 7-6 (4) Wednesday, keeping alive his chances of advancing from the group...","[-0.06908018399356525, 0.08700725418498238, -0.025931849349391075, -0.17959302489765896, 0.21419176976621573, -0.15887231701581403, 0.12282422297200095, -0.04155256112753235, 0.08783975869698345, -0.05260556535917332]","[0.5134496688842773, -0.06564358621835709, -0.2430896759033203, 0.21129216253757477, -0.10241042822599411, 0.01451146975159645, -0.19334794580936432, -0.06255069375038147, 0.03367672860622406, -0.05625405162572861]","[0.3335703238214954, -0.04800057622078301, -0.2278278214794553, 0.09280024454860687, -0.20558418994336147, -0.13115619965882008, 0.03574322252354261, -0.020107071416697996, -0.037347670534659975, -0.10435227163454268]"
N51841,tennis,Noted Bad Boy Roger Federer Finally Penalized for Unsportsmanlike Behavior,"There's no denying that Roger Federer is a transcendent talent, but for tennis fans with children, it's always been tough to watch him play due to his reputation for outbursts and unprofessional behavior.","Noted Bad Boy Roger Federer Finally Penalized for Unsportsmanlike Behavior There's no denying that Roger Federer is a transcendent talent, but for tennis fans with children, it's always been tough to watch him play due to his reputation for outbursts and unprofessional behavior.","[-0.05421641288203147, 0.07981150460932084, -0.016830132239867773, -0.18996724412309313, 0.1774650936552649, -0.11361756284508673, 0.0980109663912034, -0.005033213898422455, 0.03637280302427441, -0.06998010412663208]","[0.33592304587364197, -0.24687352776527405, -0.0344027616083622, -0.13472190499305725, -0.13816705346107483, -0.26712465286254883, -0.1905190795660019, -0.01938699185848236, -0.16509570181369781, -0.08720827102661133]","[0.24368461971477828, 0.1316667489614919, -0.13186879614312047, -0.05178860816020766, -0.06423296275017498, -0.1339202196402162, 0.210154437587611, -0.10729226503135365, 0.11438658808253546, -0.053318387942566735]"
N37152,tennis,Tennis: Teenager Gauff puts homework on hold to stun top seed Bertens in Linz,Tennis: Teenager Gauff puts homework on hold to stun top seed Bertens in Linz,Tennis: Teenager Gauff puts homework on hold to stun top seed Bertens in Linz Tennis: Teenager Gauff puts homework on hold to stun top seed Bertens in Linz,"[-0.027991216525334477, 0.03446311327847368, -0.007187071784333267, -0.07399614463380327, 0.06399347917542542, -0.0037994448808949155, 0.04139411615882039, -0.00808340337066525, 0.023680723242546803, -0.02235342261423497]","[0.31069526076316833, -0.08433818817138672, -0.2709904611110687, -0.042389240115880966, 0.140546053647995, 0.0035116809885948896, -0.08818221837282181, -0.09359262138605118, 0.049087561666965485, 0.0010641665430739522]","[0.2824431071853388, 0.04974471849148662, -0.3351145700376016, 0.04162698809621988, 0.021114771629487914, -0.09920893093551623, 0.11795969622258803, -0.06271027244321088, 0.02699910616313809, -0.033978522370047594]"
N65096,tennis,"Federer celebrates 1,500th match with Basel breeze","Roger Federer opened his bid for a 10th title at the ATP Swiss indoors in Basel on Monday, crushing German qualifier Peter Gojowczyk in what was the Swiss legend's 1,500th career match. This landmark 6-2, 6-1 success in his hometown set the 38-year-old up for his tilt at a 103rd title. ""I thought the match was good,"" Federer said. ""I felt a nice spring in my step. I was quick to the ball and it didn't take me long to get used to the conditions,...","Federer celebrates 1,500th match with Basel breeze Roger Federer opened his bid for a 10th title at the ATP Swiss indoors in Basel on Monday, crushing German qualifier Peter Gojowczyk in what was the Swiss legend's 1,500th career match. This landmark 6-2, 6-1 success in his hometown set the 38-year-old up for his tilt at a 103rd title. ""I thought the match was good,"" Federer said. ""I felt a nice spring in my step. I was quick to the ball and it didn't take me long to get used to the conditions,...","[-0.04317422968411747, 0.09095144507493855, -0.05284244773203487, -0.19093811217792578, 0.2544161040858393, -0.15795376092913269, 0.07094553099474095, -0.02719458667626184, 0.015938830941996947, 0.013268064694283564]","[0.5189037919044495, -0.15952938795089722, -0.26045945286750793, 0.06451865285634995, -0.05926885828375816, -0.0427091047167778, -0.028498319908976555, 0.06643136590719223, -0.05080322176218033, -0.06622683256864548]","[0.37115546453109466, 0.06657370792363139, -0.19988068824069222, 0.05018681653348283, -0.032804253140022714, -0.14694081224913053, 0.008550046414459875, 0.0246922970291048, 0.057185414512274775, -0.0418480097173155]"
N35588,tennis,Federer withdraws from inaugural ATP Cup,Federer withdraws from inaugural ATP Cup,Federer withdraws from inaugural ATP Cup Federer withdraws from inaugural ATP Cup,"[0.08187214058834512, 0.1633110652682866, 0.04558638197902444, -0.2536538926507606, 0.29497265057036914, 0.07862435427291233, 0.17281275336617374, -0.03507053489678145, 0.09355170436671119, -0.07379401365761283]","[0.5123977661132812, -0.09609877318143845, -0.19084666669368744, -0.03815975785255432, -0.23565420508384705, -0.08118797093629837, -0.218867689371109, 0.1250775009393692, 0.004887035582214594, -0.04449063912034035]","[0.3347165717790074, 0.13383126372466705, -0.21218855919544552, -0.09667126347850839, -0.06504821164890269, -0.2476617713435363, 0.20894982819183733, -0.040607638131815595, 0.04278895606272711, -0.04624467666420247]"
